ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCA_002504435.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5,s__MGIIb-O5 sp002504435
GCA_937888295.1,f,d__Archaea,p__Halobacteriota,c__Syntropharchaeia,o__Alkanophagales,f__Methanospirareceae,g__ANME1a,s__ANME1a sp003194425
GCF_001560675.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus acidocaldarius
GCA_029985635.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum faecipullorum
GCA_026414405.1,f,d__Archaea,p__Thermoproteota,c__Methanomethylicia,o__Nezhaarchaeales,f__WYZ-LMO8,g__WYZ-LMO8,s__WYZ-LMO8 sp025059375
GCA_030695605.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR9,g__JAUYQE01,s__JAUYQE01 sp030695605
GCA_014730125.1,f,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__Sigynarchaeales,f__SOKP01,g__TEKIR-8,s__TEKIR-8 sp014730165
GCA_030046485.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp030037035
GCF_002214365.1,t,d__Archaea,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus celer
GCA_028715545.1,t,d__Archaea,p__Halobacteriota,c__UBA148,o__UBA148,f__UBA148,g__UBA148,s__UBA148 sp028715545
GCA_029985985.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum faecipullorum
GCA_027377035.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp021791335
GCA_027377875.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp021826685
GCA_028866575.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__UBA12276,s__UBA12276 sp028866575
GCA_018654845.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2,s__MGIIb-O2 sp002499785
GCA_943840935.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1,s__MGIIa-L1 sp002502605
GCA_023140035.1,t,d__Archaea,p__Thermoplasmatota,c__E2,o__DHVEG-1,f__DHVEG-1,g__JAGLML01,s__JAGLML01 sp023140035
GCA_027380135.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JACWAH01,s__JACWAH01 sp021818715
GCA_024720855.1,f,d__Archaea,p__Thermoproteota,c__JANJXX01,o__Panguiarchaeales,f__Panguiarchaeaceae,g__Panguiarchaeum,s__Panguiarchaeum symbiosum
GCA_027448445.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__Parvarchaeum,s__Parvarchaeum sp021802505
GCA_028709645.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium formicicum
GCA_030747785.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1,s__MGIIa-K1 sp030747785
GCA_012729995.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanospirillum,s__Methanospirillum sp012729995
GCA_005888795.1,f,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__40CM-2-53-6,g__BA-19,s__BA-19 sp005888735
GCA_024399215.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__JAKSHX01,s__JAKSHX01 sp024399215
