ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCF_005435195.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sodomense
GCA_027339025.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAKAFX01,s__JAKAFX01 sp021785735
GCA_002497245.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2,s__MGIIb-O2 sp002497245
GCA_002686295.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GCA-2686295,g__GCA-2686295,s__GCA-2686295 sp002686295
GCA_027375695.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Ferroplasma,s__Ferroplasma sp021797735
GCA_027346825.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__JAKAKT01,f__JAKAKT01,g__JAKAKT01,s__JAKAKT01 sp021813385
GCA_027369675.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__Parvarchaeum,s__Parvarchaeum sp021817165
GCA_002505195.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Cuniculiplasma,s__Cuniculiplasma divulgatum
GCA_014361345.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__DSM-23052,g__Methanothermobacter_A,s__Methanothermobacter_A sp001507955
GCF_009856455.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum distributum
GCA_021160905.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei,o__Thermofilales,f__B20-G17,g__B67-G16,s__B67-G16 sp003650675
GCF_022779995.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_B,s__Methanobrevibacter_B boviskoreani
GCF_000308215.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Methanomassiliicoccus luminyensis
GCF_938048705.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A woesei
GCA_013330265.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5,s__MGIIb-O5 sp002730095
GCA_002506105.1,t,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanolinea_A,s__Methanolinea_A sp002506105
GCA_003023785.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__QS-5-68-33,s__QS-5-68-33 sp003023785
GCA_027370515.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__JAJYZA01,s__JAJYZA01 sp021852265
GCF_003992375.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicrobium,s__Halomicrobium mukohataei
GCA_002505735.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__RumEn-M2,s__RumEn-M2 sp001421175
GCF_000979115.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina mazei
GCA_003019345.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Marsarchaeales,f__Marsarchaeaceae,g__ECH-B-1,s__ECH-B-1 sp003019535
GCA_026413885.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__NBVN01,g__DRZP01,s__DRZP01 sp026413885
GCA_027329365.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJYXL01,s__JAJYXL01 sp021801785
GCA_027370775.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__JAJYZA01,s__JAJYZA01 sp021852265
GCA_018260675.1,f,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__Altiarchaeales,f__Altiarchaeaceae,g__Altiarchaeum,s__Altiarchaeum sp018260755
GCA_002010065.2,t,d__Archaea,p__Hydrothermarchaeota,c__Hydrothermarchaeia,o__Hydrothermarchaeales,f__BMS3B,g__Pyrohabitans,s__Pyrohabitans jungbluthii
GCA_027250655.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5,s__MGIIb-O5 sp002718995
